mcc,familia,descripcion,referencia
5551,Ventas al detalle (Retail),"DISTRIBUIDORES DE YATES, BARCOS, LANCHAS","Comerciantes que venden el nuevo y usado watercraft, fuentes marinas, y los motores externos. Watercraft para la venta puede incluir las motoras, los powerboats, los barcos de vela, los barcos de pesca, y los barcos del agua-esqui. Automoviles y vehiculos"
5561,Ventas al detalle (Retail),"DISTRIBUIDORES DE CAMPERS, ( DISTRIBUIDOR DE ACCESORIOS PARA REMOLQUES), ( DISTRIBUIDOR DE REMOLQUES),(DISTRIBUIDORES DE REMOLQUES Y ACCESORIOS PARA A","Comerciantes que venden los campistas nuevos y usados y los acoplados recreacionales y para uso general. Los productos para la venta pueden tambien incluir acoplados del recorrido del automovil, acoplados pop-up de la tienda, y piezas y los accesorios relacionados. Para los distribuidores del hogar de motor, utilice MCC 5592. Automoviles y vehiculos"
5571,Ventas al detalle (Retail),DISTRIBUIDORES Y AGENCIAS - MOTOCICLETAS,"Comerciantes que venden las motocicletas, los scooters del motor, y los ciclomotores nuevos y usados, y piezas, equipo, y accesorios relacionados. Los productos para la venta pueden tambien incluir cascos y una seleccion limitada de la ropa del montar a caballo tal como chaquetas, pantalones, sombreros, y guantes. Automoviles y vehiculos"
5592,Ventas al detalle (Retail),DISTRIBUIDORES - CASAS RODANTES,"Comerciantes que venden nuevos y usados hogares de motor y piezas y los accesorios relacionados. Para el campista y los distribuidores recreacionales del acoplado, utilice MCC 5561. Automoviles y vehiculos"
5598,Ventas al detalle (Retail),DISTRIBUIDORES DE AUTOS PARA LA NIEVE,Se aplica exclusivamente a los comerciantes que venden nuevos y usados snowmobiles y piezas y los accesorios relacionados. Automoviles y vehiculos
5599,Ventas al detalle (Retail),"DISTRIBUIDORES DE AUTOMOTORES EN GENERAL, AVIONES, TRACTORES - NO CLASIFICADOS","Comerciantes que venden automotor nuevo y usado, avion, y vehiculos de la granja, piezas, equipo, y fuentes no a otra parte clasificadas. Los vehiculos para la venta pueden incluir los vehiculos todo terreno (ATVs), los cochecillos de la duna, los carros del golf, los ir-carros, los snowmobiles, los tractores, las cosechadoras, y cosechar maquinaria. Automoviles y vehiculos"
5611,Ventas al detalle (Retail),"BOUTIQUE - ROPA PARA NIÑOS,(ROPA - CABALLEROS Y NIÑOS),(BOUTIQUE - CABALLEROS Y NIÑOS)","Los comerciantes que venden a hombres y los muchachos listo-a-usan la ropa y los accesorios, incluyendo lazo y sombrero hacen compras. Almacenes El Arropar"
5621,Ventas al detalle (Retail),"(ROPA CASUAL - DAMAS), (BOUTIQUES ROPA CASUAL - DAMAS)","Comerciantes que venden una linea general de la ropa del desgaste del readyto- de las mujeres tal como vestidos, pantalones, juegos, y capas de las mujeres. Tambien se incluyen las tiendas de especialidad tales como esas que venden la ropa nupcial del desgaste o de la maternidad. Almacenes El Arropar"
5631,Ventas al detalle (Retail),"(BOUTIQUE ROPA - ESPECIAL), (BOUTIQUES - LENCERIAS)","Comerciantes que venden los accesorios de ropa de las mujeres, incluyendo los bolsos, los sombreros, joyeria del traje, las bufandas, las correas, los arcos y los barrettes del pelo, ropa interior, y la calceteria. Almacenes El Arropar"
5641,Ventas al detalle (Retail),"BOUTIQUES ROPA - NIÑOS Y BEBES, (ROPA - NIÑOS Y BEBES)","Comerciantes que venden los ninos y la ropa de los infantes, mobiliarios, y los accesorios. Almacenes El Arropar"
5651,Ventas al detalle (Retail),"BOUTIQUES ROPA - PARA TODA LA FAMILIA, (ROPA PARA TODA LA FAMILIA)","Comerciantes que venden lineas generales de los hombres, de las mujeres y de la ropa de los ninos, de los mobiliarios, y de los accesorios sin la especializacion en las ventas para una categoria particular del sexo o de edad. Este MCC incluye los pantalones vaqueros o los almacenes y el unisex de la ropa del dril de algodon hace compras. Almacenes El Arropar"
5655,Ventas al detalle (Retail),"ROPA - EQUITACION, (ROPA - DEPORTIVA), (ROPA - PARA DEPORTES)","Comerciantes que venden atletico, deportes y ropa del montar a caballo, y desgaste activo. Tales comerciantes pueden especializarse en ropa ecuestre, desgaste occidental, o motocross y desgaste de la motocicleta, y pueden o pueden tambien no vender los zapatos atleticos o los cargadores occidentales. Almacenes El Arropar"
5661,Ventas al detalle (Retail),ZAPATERIAS,"Comerciantes que venden a hombres, mujeres, o el calzado de los ninos, incluyendo calzado atletico. Los almacenes de zapato tambien llevan con frecuencia una seleccion limitada de bolsos, de calcetines, de los ornamentos del zapato, del pulimento del zapato, de guantes, y de la calceteria. Almacenes El Arropar"
5681,Ventas al detalle (Retail),PIELES FINAS,"Los comerciantes que venden sobre todo una variedad de articulos al por menor hicieron de la piel animal, incluyendo las capas, de las chaquetas, de los sombreros, y de los guantes. Almacenes El Arropar"
5691,Ventas al detalle (Retail),"ROPA PARA CABALLEROS Y DAMAS, (BOUTIQUES - ROPA PARA CABALLEROS Y DAMAS)",Comerciantes que venden sobre todo los hombres y la ropa y los accesorios de las mujeres. Estos comerciantes no venden el desgaste de los infantes y de los ninos. Almacenes El Arropar
5697,Ventas al detalle (Retail),"ALTA COSTURA - CABALLEROS Y DAMAS,(ALTA COSTURA - DAMAS),(SASTRES - DISEÑO Y COSTURA),(SASTRES Y ALTA COSTURA)","Los comerciantes que crean y venden la ropa por encargo, asi como proporcione las alteraciones, reparando, y la reparacion de la ropa, e incluye los que se especialicen en la restauracion de la ropa o la confeccion traje. Almacenes El Arropar"
5698,Ventas al detalle (Retail),PELUCAS Y BISOÑES,"Los comerciantes que venden los toupees, las pelucas, los hairpieces, y las extensiones permanentemente unidos o temporales del pelo para los hombres y las mujeres, e incluyen a los que proporcionan servicios pelo-que tejen. Para los comerciantes que proporcionan los servicios del reemplazo del pelo que requieren tecnicas quirurgicas, uso MCC 8099. Almacenes El Arropar"
5699,Ventas al detalle (Retail),"ROPA Y ACCESORIOS - MISCELANEOS, (ROPA - MISCELANEO)","Los comerciantes que de venden especializaron lineas la ropa (excepto la piel) y los accesorios que a otra parte no se clasifican. Incluyen a los comerciantes que se especializan en ropa tal como camisetas, el desgaste formal, y el traje de bano en este MCC. Para los comerciantes que venden sobre todo las pieles, uso MCC 5681. Almacenes El Arropar"
5712,Ventas al detalle (Retail),"MOBILIARIO ESPECIAL PARA EL HOGAR - MISCELANEO, (VENTAS DE EQUIPO),(MUEBLES, MOBILIARIO PARA EL HOGAR Y EQUIPOS (EXCEPTO ELECTRODOMESTICOS))","Comerciantes que venden los mobiliarios caseros, ofreciendo tipicamente una variedad amplia de productos y de accesorios acabados de los muebles. Los productos para la venta pueden incluir el lecho y los colchones, los muebles del sitio el vivir, los mobiliarios del portico y del patio, los mobiliarios del bebe, las lamparas, las mantas del area, y los draperies. Los almacenes de los mobiliarios caseros pueden tambien ofrecer una seleccion limitada de la electronica tal como televisiones, estereofonias, y VCRs. Para los comerciantes que venden sobre todo electronica, uso MCC 5732. Almacenes Miscelaneos"
5713,Ventas al detalle (Retail),ALFOMBRAS Y TAPETES,"Los comerciantes que venden cubiertas de piso tales como alfombrado, mantas del area, azulejo del piso, linoleo, piedra, madera, y ladrillo, y pueden o pueden tambien no realizar servicios de la instalacion. Si el comerciante conduce solamente instalaciones, utilice MCC 1799. Almacenes Miscelaneos"
5714,Ventas al detalle (Retail),"CORTINAS, CORTINEROS, (TAPICERIAS),","Comerciantes que venden draperies, las cortinas, las persianas venecianas, las cortinas de la ventana, y los materiales de la tapiceria. Para los comerciantes que los muebles sobre todo del reupholster o de la reparacion, utilizan MCC 7641. Almacenes Miscelaneos"
5718,Ventas al detalle (Retail),"ACCESORIOS PARA CHIMENEAS, CHIMENEAS","Comerciantes que venden chimeneas, las estufas de madera, las piezas de la chimenea, y los accesorios tales como herramientas y pantallas de la chimenea. Para los contratistas de piedra de la albanileria que construyen chimeneas, uso MCC 1740. Almacenes Miscelaneos"
5719,Ventas al detalle (Retail),"EQUIPAMIENTO PARA EL HOGAR, EXCEPTO ELECTRODOMESTICOS","Comerciantes que venden mobiliarios caseros miscelaneos. Los productos para la venta pueden incluir housewares, la cuchilleria, el lecho y el lino, las lamparas y las cortinas, los espejos, los cuadros, la ceramica, y articulos de ceramica. Para los comerciantes que venden sobre todo cristaleria y el cristal, uso MCC 5950. Almacenes Miscelaneos"
5722,Ventas al detalle (Retail),"ACCESORIOS - ELECTRODOMESTICOS, (ELECTRODOMESTICOS - NO CLASIFICADOS)","Comerciantes que venden aparatos electrodomesticos. Los productos para la venta pueden incluir el gas o las gamas y las estufas electricas, los hornos, los refrigeradores, los lavaplatos, los calentadores de agua, las arandelas, los secadores, las disposiciones de basura, las maquinas de costura, las unidades de aire acondicionado autonomas, y los aspiradores. Tales comerciantes pueden o pueden tambien no conducir el trabajo de la reparacion. Para los comerciantes que conducen sobre todo el trabajo de la reparacion, uso MCC 7623, MCC 7629, o MCC 7699 como apropiados. Almacenes Miscelaneos"
5732,Ventas al detalle (Retail),TIENDAS DE ELECTRONICA,"Los comerciantes que venden una variedad amplia de mercancias electronicas, y pueden tambien vender piezas o los accesorios para la reparacion, la construccion, o el montaje del equipo electronico. Los comerciantes electronicos de las ventas pueden o pueden tambien no conducir el trabajo de la reparacion. Los productos para la venta pueden incluir las televisiones, las radios, VCRs, las camaras de video, y los componentes estereos. Para los comerciantes que conducen solamente el trabajo de la reparacion de la electronica, uso MCC 7622. Para los comerciantes que venden sobre todo aparatos electrodomesticos tales como lavadoras, secadores de las ropas, y refrigeradores, uso MCC 5722. Almacenes Miscelaneos"
5733,Ventas al detalle (Retail),"TIENDAS DE MUSICA - INSTRUMENTOS MUSICALES, PIANOS, PARTITURAS","Los comerciantes que venden los instrumentos musicales, musica de la hoja, teclados, los libros de la instruccion, los pianos, las guitarras, y las fuentes y el equipo relacionados, y pueden ofrecer la instruccion musical. Para los comerciantes que proporcionan sobre todo la instruccion musical, uso MCC 8299. Almacenes Miscelaneos"
5734,Ventas al detalle (Retail),"TIENDAS DE SOFTWARE PARA COMPUTADORAS, (SOFTWARE - COMPUTADORAS)","Los comerciantes que venden los programas del software para el negocio y el uso personal, y pueden vender o renta una accion limitada del hardware o de otros productos relacionados. Para los comerciantes que el hardware sobre todo de la venta o de la renta u otros productos de la electronica, utiliza MCC 5732. Para los comerciantes que proporcionan servicios de proceso de datos y que consultan, uso MCC 7372. Almacenes Miscelaneos"
5735,Ventas al detalle (Retail),TIENDA DE DISCOS,"Los comerciantes que venden expedientes, los discos compactos (CDs), los cassettes, musica y los discos laser video, y el audio y las videocintas en blanco, y pueden alquilar las videocintas. Para los comerciantes que sobre todo las videocintas del alquiler, utilizan MCC 7841. Almacenes Miscelaneos"
5811,Ventas al detalle (Retail),ALIMENTOS - PROVEEDORES Y DISTRIBUIDORES,"Comerciantes que contraen con los consumidores para preparar y para entregar (tipicamente a una localizacion especificada) el alimento y las bebidas para la consumicion inmediata. Los abastecedores pueden o pueden tambien no proporcionar servicios de la limpieza, las tablas, el equipo que sirve, decoraciones, y a personal para la porcion en sitio y la limpieza general. Para los restaurantes que sirven sobre todo el alimento para la consumicion en las premisas, y tambien proporcione los servicios del abastecimiento, uso MCC 5812. Abastecedores De Servicio"
5812,Restaurantes,"RESTAURANTES, (CAFETERIAS)","Comerciantes que preparan el alimento y las bebidas para la consumicion inmediata, tipicamente en las premisas del comerciante. Tales comerciantes proporcionan servicio de la tabla de un camarero o de una camarera, y una propina se puede agregar a la cuenta. Para los comerciantes que venden los alimentos de preparacion rapida, uso MCC 5814. Para los comerciantes que venden las bebidas alcoholicas para la consumicion en las premisas, uso MCC 5813. Almacenes Miscelaneos"
5813,Restaurantes,"BARES - BEBIDAS ALCOHOLICAS, (TABERNAS), (DISCOTECAS),(SALON DE COCKTALES),(CENTROS NOCTURNOS)","Los comerciantes que venden las bebidas alcoholicas tales como vino, cerveza, cerveza inglesa, mezclaron bebidas, y otros licores y bebidas para la consumicion en las premisas. Los lugares el beber incluyen barras, jardines de la cerveza, microbreweries, las publicaciones, los taprooms, los salones del coctel, los discotheques, los nightclubs, los salones, las tabernas, los clubs de la comedia, y las barras del vino. Almacenes Miscelaneos"
5814,Comida Rápida,"RECEPTOR DE PAGOS QUE VENDE COMIDA PREPARADA PARA CONSUMO INMEDIATO EN SUS INSTALACIONES O PARA LLEVAR. RESTAURANTES DE COMIDA RÁPIDA PUEDEN TENER O NO VENTANILLAS PARA ORDENAR Y RECOGER LA COMIDA EN AUTOMÓVIL Y PUEDEN O NO PROPORCIONAR EL SERVICIO DE MESEROS PARA LLEVAR LA COMIDA A LA MESA. EN CUALQUIERA DE LOS CASOS, EL PEDIDO ES PAGADO EN EL MOSTRADOR, O EN LA VENTANILLA DE ACCESO DEL AUTOMÓVIL. Y SE SIRVEN DE FORMA PREPONDERANTE LOS SIGUIENTES PRODUCTOS ALIMENTICIOS: HAMBURGUESAS / HOT DOGS, PIZZAS, TACOS / TORTAS / QUESADILLAS, SÁNDWICHES / BAGUETTES, TAMALES, POLLO FRITO EMPANIZADO, DONAS, CAFÉ / TÉ, HELADOS.","Los comerciantes que venden prepararon el alimento y las bebidas para la consumicion inmediata en las premisas o empaquetado para el carryout. Los restaurantes de los alimentos de preparacion rapida pueden o pueden no funcionar por conducen -para arriba la ventana para ordenar y toman, y pueden o pueden no proporcionar servicio de la tabla un camarero o camarera. En cualquier caso, las ordenes son pagadas para en el contador o en conducen -para arriba la ventana. Los restaurantes de los alimentos de preparacion rapida incluyen los cafes, cafeterias, parrillas, tiendas de cafe, diners, salas de la pizza, barras del emparedado o las tiendas, deli hacen compras, y las tiendas del bocado. Si se proporciona el servicio de la tabla, una propina se puede agregar a la cuenta. Tales comerciantes no venden generalmente las bebidas alcoholicas. Almacenes Miscelaneos"
5912,Farmacias,"DROGUERIAS, (FARMACIAS)","Comerciantes que venden la prescripcion y drogas propietarias y medicinas (over-the-counter) del nonprescription. Los almacenes de la droga pueden tambien vender productos relacionados y miscelaneas tales como cosmeticos, articulos de tocador, tabaco, cojines de calefaccion, ayudas de la parte posteriora, mercancia de la novedad, tarjetas de saludo, y una fuente limitada de articulos del alimento. Los operadores de las fuentes de la soda o de los contadores del almuerzo dentro de almacenes de la droga deben tambien utilizar este MCC. Almacenes Miscelaneos"
5921,Ventas al detalle (Retail),"DEPOSITOS DE CERVEZAS, (VINATERIAS), (DEPOSITOS DE CERVEZAS, VINOS Y LICORES)","Los comerciantes que venden empaquetaron las bebidas alcoholicas tales como cerveza inglesa, cerveza, vino, y licor para la consumicion de las premisas. Tales comerciantes pueden o pueden tambien no vender una variedad limitada de articulos del bocado, los periodicos, y los compartimientos, o los articulos de tocador y las medicinas contrarias del overthe-. Para los comerciantes que venden el licor para la consumicion en las premisas, uso MCC 5813. Almacenes Miscelaneos"
5931,Ventas al detalle (Retail),"(TIENDAS DE ARTICULOS USADOS), (TIENDAS DE ARTICULOS DE SEGUNDA MANO)","Los comerciantes que venden utilizaron la mercancia o mercancias indirectas. Los productos para la venta pueden incluir los accesorios, los zapatos y la ropa, muebles, los libros, las bicicletas, los instrumentos musicales, las maquinas de costura, el equipo electronico, aplicaciones, y otros articulos de la casa. Tipicamente, los articulos para la venta se han donado o estan en el envio. Tales comerciantes pueden o pueden tambien no vender antig_x0081_edades. Para los comerciantes que venden sobre todo antig_x0081_edades, uso MCC 5932. Para los pawnshops, utilice MCC 5933. Almacenes Miscelaneos"
5932,Ventas al detalle (Retail),"TIENDAS DE ANTIGÜEDADES, BAZARES - VENTA, REPARACION, RESTAURACION","Comerciantes que venden antiguedades y pueden o pueden tambien no conducir un cierto trabajo de la reparacion o de la restauracion. Los productos para la venta pueden incluir muebles, joyeria, camaras fotograficas y el equipo fotografico, las herramientas, las ilustraciones, los libros, las aplicaciones, y otros articulos de la casa. Para los comerciantes que venden los automoviles antiguos, uso MCC 5521. Para los comerciantes que reparan o restauran sobre todo muebles antiguos, uso MCC 7641. Almacenes Miscelaneos"
5933,Ventas al detalle (Retail),CASAS DE EMPEÑO,"Comerciantes que prestan el dinero en el intercambio para la caracteristica personal a la izquierda con los comerciantes como seguridad. Las tiendas de empeno pueden, sobre el defecto del prestamo, vender la caracteristica al publico en general. La caracteristica dejada como seguridad puede incluir articulos tales como joyeria, relojes, instrumentos musicales, bicicletas, muebles, monedas, y equipo del camara fotografico y fotografico. Almacenes Miscelaneos"
5935,Ventas al detalle (Retail),VENTAS DE SALDOS,"Comerciantes que proporcionan los servicios arruinadores y que salvan para los vehiculos, el equipo, y otros articulos. Tales comerciantes pueden o pueden no proporcionar servicios de la recogida y del remolque. Para los comerciantes que proporcionan sobre todo servicios del remolque, uso MCC 7549. Almacenes Miscelaneos"
5937,Ventas al detalle (Retail),REPRODUCCION DE ANTIGÜEDADES - VENTA,"Comerciantes que venden reproducciones o facsimiles antiguos. Los articulos para la venta pueden incluir la ropa, los muebles, las mantas, las pinturas y las ilustraciones, los espejos, cristaleria, joyeria, y otros articulos del casa y personales. Tales comerciantes pueden tambien proporcionar servicios antiguos de la reproduccion y de la restauracion del fonografo. Para los comerciantes que venden antiguedades autenticas, uso MCC 5932. Almacenes Miscelaneos"
5940,Ventas al detalle (Retail),BICICLETAS - VENTA Y REPARACION,"Comerciantes que venden las bicicletas, las piezas de la bicicleta, y los accesorios. Las tiendas de la bicicleta pueden tambien vender una variedad limitada de ropa que se divierte relacionada, y pueden o pueden tambien no conducir las bicicletas del trabajo o del alquiler de la reparacion. Para los comerciantes que sobre todo las bicicletas de la reparacion, utilizan MCC 7699. Para los comerciantes que sobre todo las bicicletas del alquiler, utilizan MCC 7999. Almacenes Miscelaneos"
5941,Ventas al detalle (Retail),DEPORTES Y ACCESORIOS,"Companias que venden mercancias para la diversion o el deporte,equipo deportivo, y piezas y los accesorios relacionados. Los productos para la venta pueden incluir patines, waterskis, patines en linea, las tablas de surf, el equipo del golf, los esquis de la nieve, windsurfing, el salto de la piel y el equipo de la escafandra autonoma, el cebo y los trastos, backpacking, acampando, yendo de excursion y equipo mountaineering, equipo del ejercicio, tabla de la piscina, equipo del tenis, equipo y fuente el rodar, equipo y fuente de la caza, y equipo del patio. Los almacenes de equipo deportivo pueden o no tener alquiler o reparacion. Para los comerciantes que conducen sobre todo el trabajo de la reparacion, uso MCC 7699. Para los comerciantes que alquilan sobre todo el equipo deportivo MCC 7999. Almacenes Miscelaneos"
5942,Ventas al detalle (Retail),LIBRERIAS,"Comerciantes que venden los libros nuevos o usados, los diarios, los compartimientos, los libros de textos, los mapas, y los atlas, los libros audio (libros en la cinta) y los calendarios. Este MCC tambien incluye librerias religiosas. Almacenes Miscelaneos"
5943,Ventas al detalle (Retail),"ARTICULOS DE ESCRITORIO, (ARTICULOS DE OFICINA), (ARTICULOS ESCOLARES)","Comerciantes que venden una variedad de fuentes de la oficina y de la escuela y de mercancias de papel. Los productos para la venta pueden incluir plumas, lapices, calendarios, organizadores del escritorio, las grapadoras, las carpetas del archivo, la garantia, listas, los cojines del mensaje, los marcadores, los diskettes de la computadora, los cartuchos de la tinta para las impresoras de la computadora, una seleccion limitada del software, y el mobiliario de oficinas pequeno tal como cajones de archivo, sillas, wastebaskets, y lamparas del escritorio. Tales comerciantes no venden sobre todo el mobiliario de oficinas grande o caro tal como computadoras o unidades del escritorio. Para los comerciantes que venden sobre todo el hardware, uso MCC 5732. Para los comerciantes que venden sobre todo software, uso MCC 5734. Almacenes Miscelaneos"
5944,Ventas al detalle (Retail),"RELOJERIAS, (JOYERIAS), (PLATERIAS)","Comerciantes que venden los relojes y los relojes; la joyeria fina tal como diamantes u otras piedras preciosas monto en metales preciosos; y plata esterlina y platos y cubiertos y accesorios plateados, tales como discos, tazones de fuente que sirven, trivets, y jarras. Tales comerciantes pueden tambien conducir el trabajo de la reparacion. Para los comerciantes que reparan sobre todo joyeria, los relojes, o los relojes finos, uso MCC 7699. Para los comerciantes que venden sobre todo China o el cristal, uso MCC 5950. Almacenes Miscelaneos"
5945,Ventas al detalle (Retail),"JUGOS DE MESA Y PASATIEMPOS, (JUGUETERIAS, JUGOS DE MESA Y PASATIEMPOS), (TIENDAS - JUEGOS)","Los comerciantes que venden los juguetes y los juegos, y pueden vender una seleccion limitada de los kits del arte o de la mania del hagalo usted mismo. Para los comerciantes que venden sobre todo las fuentes, los materiales, y el equipo montaba artes, utilizan MCC 5970. Almacenes Miscelaneos"
5946,Ventas al detalle (Retail),ARTICULOS Y ACCESORIOS FOTOGRAFICOS,"Comerciantes que se especializan en la venta de la camara fotografica, de la pelicula, del video, y de otro equipo y fuentes fotograficos, incluyendo el proceso de productos quimicos y de los papeles. Tales comerciantes pueden o pueden tambien no proporcionar el pelicula-proceso de servicios. Para los comerciantes que venden la camara fotografica y el equipo video ademas de una variedad del otro equipo electronico tal como VCRs, televisiones, y estereofonias, uso MCC 5732. Para los comerciantes que proporcionan sobre todo la pelicula que procesa y los servicios de impresion, uso MCC 7395. Almacenes Miscelaneos"
5947,Ventas al detalle (Retail),"TIENDAS DE REGALOS, (REGALOS Y ARTESANIAS),(TARJETAS),(NOVEDADES)","Comerciantes que venden los regalos y los articulos de la novedad, las tarjetas de saludo, los globos, los recuerdos, las decoraciones del dia de fiesta, los efectos de escritorio, el papel y arcos que se envuelven, albumes de foto, y una seleccion limitada de las fuentes de oficina tales como plumas, cuadernos, y calendarios. Para los comerciantes que venden sobre todo fuentes de la oficina y de la escuela, uso MCC 5943. Almacenes Miscelaneos"
5948,Ventas al detalle (Retail),"ARTICULO DE PIEL, (MALETAS Y EQUIPAJES)","Los comerciantes que venden equipaje, troncos, las carteras, los petates de cuero, las carpetas, los monederos, los guantes, y otras mercancias de cuero, y pueden vender una seleccion limitada de la ropa de cuero. Almacenes Miscelaneos"
5949,Ventas al detalle (Retail),"TELAS Y CASIMIRES, (MERCERIAS),(BONETERIAS),(CORCETERIA)","Los comerciantes que venden la tela, los patrones, el hilado, y el otro needlework/sewing provee por ejemplo el hilo de rosca, los botones, los broches de presion, la guarnicion, el ajuste y el cordon, la tijera, y cremalleras. Tales comerciantes pueden tambien ofrecer clases de la costura o la instruccion. Para los comerciantes que proporcionan sobre todo la costura o instruccion el hacer punto, uso MCC 8299. Almacenes Miscelaneos"
5950,Ventas al detalle (Retail),CRISTALERIAS,"Comerciantes que venden cristaleria, y el cristal para el uso del servicio de la tabla (tal como cristales del vino y del champan, tazones de fuente que sirven, y placas), asi como articulos del regalo (tales como figurines, extremos del libro, floreros de la flor, cajas de la joyeria, y sostenedores del candlestick). Almacenes Miscelaneos"
5960,Aseguradoras,MERCADEO DIRECTO – SERVICIOS DE SEGUROS,"Comerciantes que venden servicios de seguro via correo directo, los stuffers de la declaracion que mandan la cuenta, y el compartimiento o la television ads, que incluyen un numero de telefono gratis o una direccion o el Web site por el cual los clientes anticipados pueden responder. Los servicios de seguro ofrecidos pueden incluir todas las formas de seguro de vida, de seguro de la indemnidad del hospital (cobertura adicional pagada generalmente directamente al consumidor), de muerte y de seguro accidental de la desmembracion, de seguro de la tarjeta de credito en las cuales el equilibrio excepcional se asegure contra la muerte del titular de tarjeta, la inhabilidad o el subsidio de paro, y de seguro medico para los viajeros. Las ventas se pueden apuntar a los grupos especiales tales como veteranos, personas jubiladas, schoolteachers, o miembros de ciertas organizaciones. La facturacion de las primas de seguro ocurre tipicamente en (por mensual, trimestralmente, o publicacion anual) instalaciones periodicas, y continua hasta cancelado el titular de tarjeta o la compania de seguros. Otra caracteristica comun es un periodo de prueba libre de 60 o 90 dias, con la facturacion de la primera instalacion despues del periodo de prueba han terminado. Para las ventas cara a cara del seguro y los servicios que subscriben, utilice MCC 6300. Envie Los Abastecedores De la Orden De Order/Telephone"
5962,Otros,MERCADO DIRECTO - SERVICIOS RELACIONADOS CON VIAJES Y ARREGLOS RELACIONADOS A (EXCLUYENDO LAS AGENCIAS DE VIAJES),"Los comerciantes que venden arreglo viajar-relacionado mantienen via los metodos de salida del telemarketing en los cuales los iniciados mercantil entran en contacto con el consumidor con correo directo, anunciando, u otros metodos de la comercializacion directa que requieren respuesta del consumidor en una tentativa de generar una venta. Tambien incluyen a los clubs del recorrido del descuento y los servicios o los boletines de noticias de la suscripcion de los cuales los suscriptores seleccionan viajes preembalados; estos requieren a menudo un honorario anual de la calidad de miembro que se pueda mandar la cuenta a la cuenta de titular de tarjeta cada ano hasta cancelado por el titular de tarjeta o el comerciante. Para los agentes del recorrido y los operadores de viaje, utilice MCC 4722. Envie Los Abastecedores De la Orden De Order/Telephone"
5963,Ventas al detalle (Retail),VENTAS DE PUERTA - EN – PUERTA,"Comerciantes que venden la mercancia por medio del sondeo house-to-house, o de los carros o de otras localizaciones temporales. o mercancia vendida de puerta en puerta, puede incluir los cosmeticos, los articulos de la casa, los articulos de panaderia, los productos lacteos, y las suscripciones del compartimiento. Almacenes Miscelaneos"
5964,Otros,MERCADO DIRECTO - VENTAS POR CATALOGO,"Comerciantes que inician el contacto directo con los consumidores y se describen a menudo como casas pedidas por correo o como la industria el pedido por correo. Tales comerciantes ofrecen su mercancia via catalogos, y aceptan ordenes de la mercancia exclusivamente via correo, el telefono, el fax, el comercio electronico, u otros metodos no cara a cara. Un catalogo de papel es un documento de paginas multiples que se envia (enviado, enviado por telefax, o entregado de otra manera) directamente al cliente anticipado. Un catalogo electronico exhibe la mercancia via la television por cable o como videotext en un sitio de Internet. Los catalogos exhiben y describen la mercancia e incluyen direccion una forma el pedido por correo, un numero de telefono, o de un sitio de Internet para poner ordenes. Los aviadores y los folletos no se consideran los catalogos. Un fabricante con un catalogo de tasacion no se considera un comerciante de catalogo de la comercializacion directa. Abastecedores De la Orden Del Correo Order/Telephone"
5965,Ventas al detalle (Retail),MERCADEO DIRECTO - TIENDAS AL MENUDEO QUE TAMBIEN VENDEN POR CATALOGO,"Comerciantes de catalogo que tambien funcionan unos o mas distribuidores al por menor. Este MCC se utiliza solamente para las transacciones que ocurren via el pedido por correo, la orden del telefono, el comercio electronico, u otros metodos de la no-cara-a-cara, incluso si la mercancia se entrega a un almacen para la recogida del cliente. Las ventas cara a cara, incluyendo las en las cuales la orden se ponga en un escritorio del catalogo o a otra parte en un almacen en respuesta al catalogo o a la otra comunicacion directa de la respuesta recibida por el cliente, se excluyen de este MCC. All que las ventas al por menor se deben procesar bajo venta al por menor apropiada MCC. Abastecedores De la Orden Del Correo Order/Telephone"
5966,Otros,MERCADEO DIRECTO - COMERCIANTES DE TELEMERCADEO QUE HACEN LLAMADAS A LOS TARJETAHABIENTES,"Comerciantes que inician el contacto directo con los consumidores para vender productos y servicios. Compradores anticipados de salida del contacto de los comerciantes del telemarketing (y ofrezca a veces un incentivo a) por el telefono, anunciando, el correo directo (con excepcion de un catalogo), o el otro metodo de la comercializacion directa que incluye un numero de telefono gratis o una direccion para la respuesta del cliente. Los productos promovidos y vendidos via tales metodos pueden incluir los cosmeticos, productos del salud-cuidado, vitaminas, y comparten el tiempo los bienes raices. Para las organizaciones caritativas que solicitan contribuciones por cualquier medio, incluyendo via telemarketing de salida, utilice MCC 8398. Envie Los Abastecedores De la Orden De Order/Telephone"
